# cell id, centroid x, centroid y, centroid z, region, subregion, field
130, 1472838.26, 4935910.65, 0.00, 2, 308, 1550.648060
131, 1448706.78, 4921296.47, 0.00, 1, 163, 813.977983
132, 1450968.82, 4925688.52, 0.00, 0, 415, 677.846764
133, 1448780.67, 4919299.87, 0.00, 0, 415, 707.642604
134, 1457263.86, 4929060.67, 0.00, 1, 159, 854.235781
135, 1448996.09, 4919596.42, 0.00, 0, 415, 742.805837
136, 1453167.83, 4914712.14, 0.00, 0, 415, 396.739880
137, 1449627.21, 4921153.39, 0.00, 1, 163, 728.377079
138, 1448769.14, 4921479.90, 0.00, 1, 163, 910.280650
139, 1479001.93, 4933347.92, 0.00, 3, 52, 1643.799460
140, 1448695.69, 4922226.58, 0.00, 1, 163, 951.834427
141, 1452451.39, 4914970.90, 0.00, 0, 415, 354.013871
142, 1450236.38, 4923695.49, 0.00, 1, 163, 887.785176
143, 1448730.90, 4922176.81, 0.00, 1, 163, 938.673777
144, 1448953.82, 4922304.58, 0.00, 1, 163, 918.934503
145, 1461905.97, 4928508.68, 0.00, 1, 159, 1019.016920
146, 1448835.41, 4919296.22, 0.00, 0, 415, 632.477482
147, 1477042.73, 4925680.24, 0.00, 2, 308, 1212.788890
148, 1473173.96, 4935816.46, 0.00, 2, 308, 1267.168190
149, 1448872.04, 4917891.81, 0.00, 0, 415, 696.619434
150, 1448903.85, 4918012.37, 0.00, 0, 415, 621.164267
151, 1449119.40, 4917788.91, 0.00, 0, 415, 586.565634
152, 1449026.24, 4918045.44, 0.00, 0, 415, 620.414680
153, 1477122.88, 4925762.94, 0.00, 2, 308, 1361.080360
154, 1448821.35, 4917835.46, 0.00, 0, 415, 657.615777
155, 1451040.08, 4925667.67, 0.00, 0, 415, 707.305140
156, 1455383.21, 4927734.65, 0.00, 1, 159, 647.144613
157, 1448236.76, 4922660.08, 0.00, 1, 163, 728.910623
158, 1455382.15, 4927421.01, 0.00, 0, 415, 658.496812
159, 1448943.69, 4919322.73, 0.00, 0, 415, 730.306800
160, 1455799.69, 4917262.34, 0.00, 0, 415, 599.469216
161, 1457919.80, 4928654.22, 0.00, 1, 159, 1001.990600
162, 1480181.11, 4931849.91, 0.00, 4, 5, 2271.316120
163, 1448791.28, 4920105.06, 0.00, 1, 163, 845.742549
164, 1448982.45, 4918038.15, 0.00, 0, 415, 675.623566
165, 1449033.79, 4919405.40, 0.00, 0, 415, 686.151068
166, 1456021.70, 4917134.67, 0.00, 0, 415, 563.371669
167, 1457318.05, 4929198.93, 0.00, 1, 159, 867.704020
168, 1448742.45, 4917847.87, 0.00, 0, 415, 608.157289
169, 1448719.73, 4921962.36, 0.00, 1, 163, 978.309308
170, 1448602.17, 4917368.88, 0.00, 0, 415, 584.746726
171, 1448974.21, 4916789.60, 0.00, 0, 415, 563.883616
172, 1481175.94, 4926742.66, 0.00, 4, 5, 1899.903440
173, 1464015.49, 4921415.33, 0.00, 1, 164, 925.913614
174, 1447850.56, 4922558.17, 0.00, 1, 163, 773.595358
175, 1481819.09, 4926978.45, 0.00, 3, 52, 2124.779450
176, 1448127.08, 4922508.69, 0.00, 1, 163, 828.707343
177, 1457203.22, 4928961.00, 0.00, 1, 159, 986.231663
178, 1448535.33, 4922768.28, 0.00, 1, 163, 977.389650
179, 1447910.52, 4922561.76, 0.00, 1, 163, 695.262256
180, 1481109.46, 4929331.18, 0.00, 4, 5, 2725.426950
181, 1448028.49, 4922518.79, 0.00, 1, 163, 857.814731
182, 1449204.86, 4917067.11, 0.00, 0, 415, 530.163212
183, 1447919.98, 4922505.90, 0.00, 1, 163, 959.547690
184, 1473798.83, 4936387.81, 0.00, 2, 308, 1034.279370
185, 1447309.88, 4924293.35, 0.00, 1, 163, 791.775208
186, 1472918.81, 4935814.81, 0.00, 2, 308, 1201.907530
187, 1448117.43, 4922666.88, 0.00, 1, 163, 931.905803
188, 1447864.98, 4922885.29, 0.00, 1, 163, 841.669900
189, 1480929.85, 4929223.76, 0.00, 4, 5, 2649.060260
190, 1447889.78, 4922706.22, 0.00, 1, 163, 877.144520
191, 1447928.52, 4923221.95, 0.00, 1, 163, 833.438249
192, 1448241.73, 4922491.78, 0.00, 1, 163, 676.784274
193, 1471385.48, 4921460.07, 0.00, 2, 307, 1357.063850
194, 1448515.57, 4922456.34, 0.00, 1, 163, 844.141611
195, 1469134.72, 4933758.93, 0.00, 3, 53, 1821.751830
196, 1448315.03, 4922617.85, 0.00, 1, 163, 923.022592
197, 1463726.26, 4921111.41, 0.00, 1, 164, 717.462383
198, 1476531.81, 4925717.15, 0.00, 2, 308, 1219.580190
199, 1448212.57, 4922591.15, 0.00, 1, 163, 845.947526
200, 1448432.88, 4922825.48, 0.00, 1, 163, 796.888794
201, 1448584.66, 4922478.69, 0.00, 1, 163, 917.846096
202, 1448590.31, 4922530.14, 0.00, 1, 163, 829.072771
203, 1468315.94, 4920150.70, 0.00, 2, 307, 1351.795020
204, 1481678.48, 4926493.49, 0.00, 3, 52, 2002.016890
205, 1448480.85, 4922562.97, 0.00, 1, 163, 895.220844
206, 1460061.42, 4921130.03, 0.00, 1, 159, 776.335256
207, 1478825.29, 4926305.16, 0.00, 2, 308, 1037.826960
208, 1448408.31, 4922755.53, 0.00, 1, 163, 775.365244
209, 1447969.07, 4923051.44, 0.00, 1, 163, 686.317610
210, 1447799.78, 4923607.66, 0.00, 1, 163, 933.898055
211, 1448585.78, 4922772.23, 0.00, 1, 163, 958.920206
212, 1473351.09, 4936409.35, 0.00, 2, 308, 1427.370460
213, 1448270.02, 4922446.78, 0.00, 1, 163, 825.125276
214, 1455991.47, 4917248.00, 0.00, 0, 415, 575.589601
215, 1447959.60, 4923160.41, 0.00, 1, 163, 825.044269
216, 1447682.49, 4923543.23, 0.00, 1, 163, 963.082758
217, 1472935.64, 4935702.73, 0.00, 2, 308, 1485.218530
218, 1447614.18, 4923572.09, 0.00, 1, 163, 857.730363
219, 1448027.25, 4924186.41, 0.00, 1, 163, 960.629084
220, 1447629.82, 4924966.04, 0.00, 1, 163, 807.174749
221, 1447802.49, 4923481.25, 0.00, 1, 163, 790.197836
222, 1480982.69, 4929051.13, 0.00, 4, 5, 2474.058630
223, 1447651.51, 4923805.63, 0.00, 1, 163, 992.365595
224, 1447322.24, 4923909.01, 0.00, 1, 163, 814.979789
225, 1447273.11, 4923968.39, 0.00, 1, 163, 927.312799
226, 1473909.91, 4935875.91, 0.00, 2, 308, 1146.718680
227, 1480231.75, 4927264.25, 0.00, 3, 52, 1372.225260
228, 1447445.39, 4923755.52, 0.00, 1, 163, 791.077784
229, 1469573.71, 4920868.34, 0.00, 2, 307, 1478.339660
230, 1473742.98, 4936493.29, 0.00, 2, 308, 1109.689680
231, 1447431.82, 4923876.78, 0.00, 1, 163, 834.222599
232, 1473881.01, 4936045.59, 0.00, 2, 308, 1035.606730
233, 1447501.49, 4923762.40, 0.00, 1, 163, 679.296360
234, 1447414.19, 4923808.97, 0.00, 1, 163, 650.227444
235, 1469601.69, 4920944.87, 0.00, 2, 307, 1304.325870
236, 1473292.67, 4935670.54, 0.00, 2, 308, 1142.845040
237, 1480937.11, 4928631.25, 0.00, 4, 5, 2630.166930
238, 1476952.12, 4925918.70, 0.00, 2, 308, 1364.353250
239, 1447933.78, 4922909.54, 0.00, 1, 163, 749.261505
240, 1448217.73, 4923466.72, 0.00, 1, 163, 948.570188
241, 1448818.95, 4921728.88, 0.00, 1, 163, 772.029078
242, 1447831.73, 4923108.71, 0.00, 1, 163, 738.961214
243, 1448533.41, 4923671.71, 0.00, 1, 163, 765.672376
244, 1473012.66, 4921647.10, 0.00, 2, 307, 1154.056690
245, 1448769.32, 4924228.31, 0.00, 1, 163, 794.019740
246, 1448780.27, 4924183.02, 0.00, 1, 163, 949.173561
247, 1451838.20, 4925835.36, 0.00, 0, 415, 634.032601
248, 1448668.74, 4924051.25, 0.00, 1, 163, 783.491377
249, 1448783.17, 4924170.10, 0.00, 1, 163, 765.533040
250, 1468978.91, 4933917.83, 0.00, 3, 53, 2125.802020
251, 1448339.18, 4923801.02, 0.00, 1, 163, 705.539280
252, 1448778.56, 4924189.45, 0.00, 1, 163, 883.969910
253, 1472403.13, 4922044.40, 0.00, 2, 307, 1345.795560
254, 1447871.53, 4923215.65, 0.00, 1, 163, 827.134935
255, 1447816.89, 4923423.61, 0.00, 1, 163, 826.676873
256, 1472686.80, 4935979.55, 0.00, 3, 53, 1597.025400
257, 1448776.51, 4924196.88, 0.00, 1, 163, 826.232373
258, 1449284.55, 4923256.64, 0.00, 1, 163, 759.942276
259, 1478998.23, 4926442.65, 0.00, 2, 308, 1224.039950
260, 1475376.96, 4925765.20, 0.00, 3, 53, 1836.498910
261, 1448415.71, 4922938.99, 0.00, 1, 163, 854.715180
262, 1469234.32, 4932358.80, 0.00, 3, 53, 1653.921490
263, 1448980.01, 4923732.40, 0.00, 1, 163, 693.870251
264, 1448994.43, 4923740.00, 0.00, 1, 163, 855.048938
265, 1474518.33, 4935548.76, 0.00, 2, 308, 1034.593350
266, 1449330.85, 4923406.41, 0.00, 1, 163, 821.270818
267, 1474669.84, 4935754.26, 0.00, 2, 308, 1055.772160
268, 1461680.56, 4928526.95, 0.00, 1, 159, 820.967656
269, 1448868.38, 4923775.59, 0.00, 1, 163, 813.717397
270, 1464003.87, 4928069.80, 0.00, 1, 159, 1014.727170
271, 1465909.65, 4920730.91, 0.00, 2, 307, 1027.790240
272, 1448986.84, 4923751.07, 0.00, 1, 163, 922.534076
273, 1448992.04, 4923748.68, 0.00, 1, 163, 693.053138
274, 1455718.03, 4927404.33, 0.00, 1, 159, 801.455538
275, 1479134.03, 4933262.82, 0.00, 3, 52, 1921.707610
276, 1448985.69, 4923743.03, 0.00, 1, 163, 722.008495
277, 1456480.99, 4923650.53, 0.00, 1, 159, 889.815561
278, 1448965.51, 4923682.71, 0.00, 1, 163, 781.218597
279, 1448760.57, 4923688.52, 0.00, 1, 163, 866.472382
280, 1459926.22, 4928528.71, 0.00, 1, 159, 894.575910
281, 1448994.16, 4923733.93, 0.00, 1, 163, 821.290066
282, 1450833.09, 4924442.12, 0.00, 0, 415, 810.662527
283, 1449018.91, 4923701.86, 0.00, 1, 163, 906.415996
284, 1449048.61, 4923755.16, 0.00, 1, 163, 744.028178
285, 1475463.36, 4930753.57, 0.00, 2, 308, 1164.174300
286, 1448973.79, 4923686.83, 0.00, 1, 163, 826.586055
287, 1463973.24, 4926589.51, 0.00, 0, 421, 554.056479
288, 1449050.28, 4923761.61, 0.00, 1, 163, 748.691271
289, 1449059.72, 4923762.80, 0.00, 1, 163, 802.111313
290, 1476504.64, 4926411.08, 0.00, 2, 308, 1131.426040
291, 1470736.84, 4933567.19, 0.00, 3, 53, 1921.707880
292, 1456263.32, 4926532.33, 0.00, 1, 159, 856.622496
293, 1449023.20, 4923703.14, 0.00, 1, 163, 768.616455
294, 1449104.16, 4923735.97, 0.00, 1, 163, 659.905466
295, 1452911.34, 4925425.68, 0.00, 0, 415, 637.421955
296, 1449077.20, 4923725.28, 0.00, 1, 163, 750.150128
297, 1478812.92, 4934510.33, 0.00, 2, 308, 1460.765770
298, 1448946.61, 4923626.36, 0.00, 1, 163, 891.232339
299, 1467088.91, 4927713.78, 0.00, 1, 164, 914.436429
300, 1449215.57, 4923749.04, 0.00, 1, 163, 846.434282
301, 1468726.49, 4931623.42, 0.00, 3, 53, 2006.320780
302, 1468663.91, 4931645.11, 0.00, 3, 53, 2153.877300
303, 1448871.23, 4923946.21, 0.00, 1, 163, 873.334701
304, 1448836.50, 4923934.17, 0.00, 1, 163, 705.400318
305, 1448651.39, 4923886.52, 0.00, 1, 163, 810.056095
306, 1467923.97, 4929795.82, 0.00, 2, 307, 1241.867780
307, 1469689.69, 4932414.97, 0.00, 4, 6, 2124.722400
308, 1448815.77, 4924020.88, 0.00, 1, 163, 1060.807450
309, 1448639.63, 4922647.17, 0.00, 1, 163, 764.375970
310, 1472884.03, 4936103.34, 0.00, 2, 308, 1417.541660
311, 1448799.46, 4924093.74, 0.00, 1, 163, 775.933433
312, 1448812.06, 4924036.73, 0.00, 1, 163, 864.542710
313, 1453204.13, 4927561.09, 0.00, 0, 415, 682.658204
314, 1448792.13, 4923962.75, 0.00, 1, 163, 790.612244
315, 1448803.76, 4924076.03, 0.00, 1, 163, 868.294621
316, 1453673.36, 4915250.14, 0.00, 0, 415, 383.830744
317, 1448872.98, 4923755.96, 0.00, 1, 163, 852.321410
318, 1448821.18, 4923815.60, 0.00, 1, 163, 690.811101
319, 1481747.98, 4927266.30, 0.00, 4, 5, 2114.261720
320, 1453049.09, 4927453.86, 0.00, 0, 415, 732.629424
321, 1448819.48, 4924005.62, 0.00, 1, 163, 843.286397
322, 1474663.86, 4935810.94, 0.00, 2, 308, 1101.279110
323, 1465879.63, 4927703.86, 0.00, 1, 164, 910.290927
324, 1451865.02, 4926389.89, 0.00, 0, 415, 616.141554
325, 1449126.75, 4923780.60, 0.00, 1, 163, 976.226184
326, 1449172.08, 4923706.26, 0.00, 1, 163, 928.051926
327, 1449112.65, 4923781.35, 0.00, 1, 163, 716.585666
328, 1449123.21, 4923741.15, 0.00, 1, 163, 625.685431
329, 1456272.28, 4927326.36, 0.00, 1, 159, 1082.395840
330, 1452441.92, 4926806.17, 0.00, 0, 415, 645.294195
331, 1448839.73, 4923920.31, 0.00, 1, 163, 742.633403
332, 1458326.89, 4928831.40, 0.00, 1, 159, 976.538068
333, 1447800.60, 4923914.17, 0.00, 1, 163, 874.258222
334, 1449120.24, 4923792.88, 0.00, 1, 163, 864.791913
335, 1449114.91, 4923790.26, 0.00, 1, 163, 964.687914
336, 1467420.14, 4930426.81, 0.00, 2, 307, 1124.453200
337, 1472602.62, 4936000.98, 0.00, 3, 53, 1719.259880
338, 1449122.56, 4923787.98, 0.00, 1, 163, 798.309328
339, 1462037.14, 4928635.51, 0.00, 1, 159, 790.736062
340, 1478394.11, 4935472.46, 0.00, 2, 308, 1497.354270
341, 1448842.42, 4923699.21, 0.00, 1, 163, 852.058430
342, 1448848.23, 4923890.25, 0.00, 1, 163, 785.356211
343, 1457634.83, 4929128.97, 0.00, 1, 159, 933.562186
344, 1449059.12, 4923678.96, 0.00, 1, 163, 690.584634
345, 1448864.87, 4923789.78, 0.00, 1, 163, 811.845453
346, 1449974.79, 4923640.34, 0.00, 1, 163, 662.937374
347, 1452914.47, 4927333.30, 0.00, 0, 415, 660.494113
348, 1449796.45, 4918776.23, 0.00, 0, 415, 678.201302
349, 1481238.94, 4926920.55, 0.00, 4, 5, 2523.898510
350, 1449345.27, 4916867.50, 0.00, 0, 415, 555.497169
