# pid, centroid x, centroid y, centroid z, field, isovalue_min, isovalue_max, field_m_sigma, field_p_sigma, misclassification
19768, 1479757.00, 4930453.75, 0.00, 2023.864260, 2052.970000, 3364.610000, 2901.510930, 1146.217590, 29.105740
19769, 1479830.45, 4930441.78, 0.00, 1822.286870, 2052.970000, 3364.610000, 2605.134370, 1039.439360, 230.683130
20141, 1469842.52, 4933091.48, 0.00, 2034.863390, 2052.970000, 3364.610000, 2763.969810, 1305.756980, 18.106610
20142, 1469984.98, 4933183.53, 0.00, 1908.702120, 2052.970000, 3364.610000, 2586.942090, 1230.462160, 144.267880
20146, 1469941.84, 4933224.81, 0.00, 2049.634430, 2052.970000, 3364.610000, 2692.842960, 1406.425890, 3.335570
20149, 1469839.08, 4932943.82, 0.00, 2049.123800, 2052.970000, 3364.610000, 2941.366090, 1156.881520, 3.846200
20150, 1470045.21, 4932972.78, 0.00, 2020.067800, 2052.970000, 3364.610000, 2780.725750, 1259.409850, 32.902200
20155, 1469930.38, 4933006.95, 0.00, 1934.934350, 2052.970000, 3364.610000, 2432.660630, 1437.208070, 118.035650
20188, 1469369.71, 4933541.34, 0.00, 2006.189320, 2052.970000, 3364.610000, 2805.818170, 1206.560470, 46.780680
20190, 1469373.21, 4933708.79, 0.00, 1935.307250, 2052.970000, 3364.610000, 2778.048090, 1092.566410, 117.662750
20193, 1469350.79, 4933646.59, 0.00, 1785.357050, 2052.970000, 3364.610000, 2624.769510, 945.944591, 267.612950
21142, 1479835.38, 4929576.09, 0.00, 2047.809120, 2052.970000, 3364.610000, 2798.707700, 1296.910540, 5.160880
22479, 1479731.35, 4930399.44, 0.00, 2037.247650, 2052.970000, 3364.610000, 2884.022280, 1190.473010, 15.722350
22481, 1479747.53, 4930295.54, 0.00, 1981.214680, 2052.970000, 3364.610000, 2834.726220, 1127.703140, 71.755320
22482, 1479468.11, 4930065.08, 0.00, 1957.491590, 2052.970000, 3364.610000, 2571.127370, 1343.855810, 95.478410
22483, 1479745.64, 4930595.50, 0.00, 1846.238500, 2052.970000, 3364.610000, 2792.724820, 899.752182, 206.731500
22485, 1479712.49, 4930518.29, 0.00, 1945.097530, 2052.970000, 3364.610000, 2663.976110, 1226.218950, 107.872470
22496, 1479616.47, 4930854.04, 0.00, 1878.880720, 2052.970000, 3364.610000, 2400.999720, 1356.761720, 174.089280
